date,product_id,product_name,category,region,units_sold,revenue,cost,profit_margin
2024-01-01,P001,Premium Widget,Electronics,North,150,75000,45000,0.40
2024-01-01,P002,Standard Widget,Electronics,South,200,60000,42000,0.30
2024-01-01,P003,Basic Widget,Home,East,300,45000,31500,0.30
2024-02-01,P001,Premium Widget,Electronics,North,165,82500,49500,0.40
2024-02-01,P002,Standard Widget,Electronics,South,220,66000,46200,0.30
2024-02-01,P003,Basic Widget,Home,East,310,46500,32550,0.30
2024-03-01,P001,Premium Widget,Electronics,North,180,90000,54000,0.40
2024-03-01,P002,Standard Widget,Electronics,South,240,72000,50400,0.30
2024-03-01,P003,Basic Widget,Home,East,320,48000,33600,0.30
2024-04-01,P001,Premium Widget,Electronics,North,195,97500,58500,0.40
2024-04-01,P002,Standard Widget,Electronics,South,260,78000,54600,0.30
2024-04-01,P003,Basic Widget,Home,East,330,49500,34650,0.30
2024-05-01,P001,Premium Widget,Electronics,North,210,105000,63000,0.40
2024-05-01,P002,Standard Widget,Electronics,South,280,84000,58800,0.30
2024-05-01,P003,Basic Widget,Home,East,340,51000,35700,0.30
2024-06-01,P001,Premium Widget,Electronics,North,225,112500,67500,0.40
2024-06-01,P002,Standard Widget,Electronics,South,300,90000,63000,0.30
2024-06-01,P003,Basic Widget,Home,East,350,52500,36750,0.30
2024-07-01,P001,Premium Widget,Electronics,North,240,120000,72000,0.40
2024-07-01,P002,Standard Widget,Electronics,South,320,96000,67200,0.30
2024-07-01,P003,Basic Widget,Home,East,360,54000,37800,0.30
2024-08-01,P001,Premium Widget,Electronics,North,255,127500,76500,0.40
2024-08-01,P002,Standard Widget,Electronics,South,340,102000,71400,0.30
2024-08-01,P003,Basic Widget,Home,East,370,55500,38850,0.30
2024-09-01,P001,Premium Widget,Electronics,North,270,135000,81000,0.40
2024-09-01,P002,Standard Widget,Electronics,South,360,108000,75600,0.30
2024-09-01,P003,Basic Widget,Home,East,380,57000,39900,0.30
2024-10-01,P001,Premium Widget,Electronics,North,285,142500,85500,0.40
2024-10-01,P002,Standard Widget,Electronics,South,380,114000,79800,0.30
2024-10-01,P003,Basic Widget,Home,East,390,58500,40950,0.30
